SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540789,DNAMEDIA    ,B ,Q,0.68,0.74,0.68,0.73,0.73,0.71,16,10078,7152.00,
540793,HHOF1140RG  ,B ,Q,8.81,9.00,8.81,9.00,9.00,9.10,7,5549,49611.00,
540795,DYNAMIC     ,M ,Q,37.55,37.55,37.50,37.50,37.50,37.25,2,6000,225150.00,
540797,SHALBY      ,B ,Q,123.00,123.00,120.95,121.15,121.95,122.90,63,7038,854151.00,
540798,FSC         ,B ,Q,615.00,615.00,604.50,604.75,604.50,598.35,5,32,19365.00,
540809,MRCEXIM     ,M ,Q,2.10,2.10,2.10,2.10,2.10,2.20,1,8000,16800.00,
540811,DML         ,M ,Q,11.35,11.35,9.08,9.08,9.08,11.35,2,20000,204300.00,
540821,SADHNA      ,X ,Q,11.21,11.50,11.21,11.21,11.50,11.80,3,1001,11221.00,
540824,ASTRON      ,B ,Q,110.00,121.90,109.05,120.00,120.00,108.80,1258,138724,16022276.00,
540843,RITHWIKFMS  ,M ,Q,36.00,36.00,36.00,36.00,36.00,35.25,1,3000,108000.00,
